City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Husavik,IS,2021-11-28 21:41:30,66.0449,-17.3389,28.31,95,100,3.76
68,Hithadhoo,MV,2021-11-28 21:41:30,-0.6,73.0833,81.27,76,66,17.36
69,Avarua,CK,2021-11-28 21:41:30,-21.2078,-159.775,80.65,61,20,5.75
70,Bambanglipuro,ID,2021-11-28 21:41:31,-7.95,110.2833,75.02,88,99,2.59
71,Balkhash,KZ,2021-11-28 21:41:31,46.844,74.9804,22.39,52,0,12.03
72,Cape Town,ZA,2021-11-28 21:40:21,-33.9258,18.4232,63.01,94,40,4.61
73,Zhiryatino,RU,2021-11-28 21:41:31,53.2228,33.7306,41.32,98,100,11.39
74,Hobart,AU,2021-11-28 21:38:27,-42.8794,147.3294,57.06,77,0,8.05
75,Mantua,IT,2021-11-28 21:41:32,45.1667,10.7833,41.61,83,95,6.67
76,Lakes Entrance,AU,2021-11-28 21:41:32,-37.8811,147.981,58.78,71,5,4.43
77,Kununurra,AU,2021-11-28 21:41:32,-15.7667,128.7333,76.98,83,58,1.14
78,Henties Bay,NA,2021-11-28 21:41:33,-22.116,14.2845,59.77,92,0,8.01
79,Menongue,AO,2021-11-28 21:37:04,-14.6585,17.691,63.99,94,91,1.9
80,Sambava,MG,2021-11-28 21:41:33,-14.2667,50.1667,76.08,85,40,7.63
81,Kahului,US,2021-11-28 21:41:33,20.8947,-156.47,80.62,57,20,19.57
82,Kimbe,PG,2021-11-28 21:41:34,-5.5502,150.1429,82.56,78,100,1.25
83,Sioux Lookout,CA,2021-11-28 21:41:00,50.1001,-91.917,23.38,68,90,11.5
84,Hirara,JP,2021-11-28 21:41:34,24.8,125.2833,70.95,81,100,26.75
85,Colares,PT,2021-11-28 21:41:35,38.7992,-9.4469,57.97,88,40,10.36
86,Soria,ES,2021-11-28 21:41:35,41.6667,-2.6667,34.0,98,100,18.99
87,Amboise,FR,2021-11-28 21:41:35,47.4125,0.9827,34.34,75,0,5.75
88,Victoria,HK,2021-11-28 21:41:36,22.2855,114.1577,67.98,64,26,6.4
89,Nikolskoye,RU,2021-11-28 21:41:36,59.7035,30.7861,24.69,93,91,5.97
90,Nemuro,JP,2021-11-28 21:42:36,43.3236,145.575,42.4,70,7,11.21
91,Mount Isa,AU,2021-11-28 21:42:37,-20.7333,139.5,78.57,27,40,9.22
92,Albany,US,2021-11-28 21:39:21,42.6001,-73.9662,30.85,92,86,1.83
93,Mareeba,AU,2021-11-28 21:42:37,-17.0,145.4333,72.32,71,31,4.38
94,Murgab,TM,2021-11-28 21:42:37,37.4966,61.9714,46.27,76,7,9.22
95,Araouane,ML,2021-11-28 21:42:38,18.9048,-3.5265,71.91,24,5,11.5
96,Kapaa,US,2021-11-28 21:42:38,22.0752,-159.319,80.92,61,1,13.8
97,Port Elizabeth,ZA,2021-11-28 21:40:00,-33.918,25.5701,64.69,77,0,24.16
98,Reconquista,AR,2021-11-28 21:40:11,-29.15,-59.65,74.32,58,58,10.67
99,Yellowknife,CA,2021-11-28 21:41:06,62.456,-114.3525,18.12,93,90,17.27
100,Verkhoyansk,RU,2021-11-28 21:42:39,67.5447,133.385,-20.7,100,97,1.5
101,Hambantota,LK,2021-11-28 21:42:39,6.1241,81.1185,75.54,100,40,0.0
102,Vardo,NO,2021-11-28 21:42:39,70.3705,31.1107,17.58,86,75,17.27
103,Katima Mulilo,NA,2021-11-28 21:42:40,-17.5,24.2667,75.36,38,19,4.18
104,Hay River,CA,2021-11-28 21:42:40,60.8156,-115.7999,8.58,78,90,11.5
105,Acapulco,MX,2021-11-28 21:42:24,16.8634,-99.8901,85.82,62,40,6.91
106,Portland,US,2021-11-28 21:38:15,45.5234,-122.6762,62.58,65,75,14.97
107,Lima,PE,2021-11-28 21:39:50,-12.0432,-77.0282,66.45,77,40,10.36
108,Atuona,PF,2021-11-28 21:42:41,-9.8,-139.0333,78.53,71,1,17.65
109,Tasiilaq,GL,2021-11-28 21:42:41,65.6145,-37.6368,26.76,96,97,3.6
110,Bethel,US,2021-11-28 21:40:00,41.3712,-73.414,37.98,75,90,3.44
111,Airai,TL,2021-11-28 21:42:41,-8.9266,125.4092,62.37,85,100,1.3
112,Esperance,AU,2021-11-28 21:42:42,-33.8667,121.9,64.24,86,96,17.18
113,Codrington,AU,2021-11-28 21:42:42,-38.2667,141.9667,62.04,60,0,6.98
114,Shache,CN,2021-11-28 21:42:42,38.4167,77.2406,28.69,40,56,3.53
115,Huaiyin,CN,2021-11-28 21:42:43,33.5886,119.0192,51.57,89,60,3.24
116,Dvinskoy,RU,2021-11-28 21:42:43,62.1535,45.1175,21.58,96,100,5.21
117,Xam Nua,LA,2021-11-28 21:42:43,20.4197,104.0439,51.3,99,95,1.59
118,Nhulunbuy,AU,2021-11-28 21:42:44,-12.2333,136.7667,77.61,83,72,0.0
119,Muzhi,RU,2021-11-28 21:42:44,65.3667,64.6667,6.53,96,100,9.06
120,Mahebourg,MU,2021-11-28 21:42:44,-20.4081,57.7,73.69,83,20,3.44
121,Aracati,BR,2021-11-28 21:42:45,-4.5617,-37.7697,81.5,75,15,12.33
122,Hilo,US,2021-11-28 21:42:45,19.7297,-155.09,80.33,61,1,11.5
123,Iskateley,RU,2021-11-28 21:42:45,67.6803,53.1512,-7.17,100,85,5.97
124,Moerai,PF,2021-11-28 21:42:46,-22.4333,-151.3333,77.72,82,100,12.71
125,Bayang,PH,2021-11-28 21:42:46,7.7928,124.1917,67.62,91,46,2.3
126,Dorado,PR,2021-11-28 21:42:46,18.4588,-66.2677,82.29,78,40,10.36
127,Darhan,MN,2021-11-28 21:42:47,49.4867,105.9228,9.68,93,97,1.57
128,East London,ZA,2021-11-28 21:42:47,-33.0153,27.9116,67.96,73,21,6.71
129,Bambous Virieux,MU,2021-11-28 21:42:47,-20.3428,57.7575,73.65,83,20,3.44
130,Sisimiut,GL,2021-11-28 21:42:48,66.9395,-53.6735,31.35,93,100,11.14
131,Chara,RU,2021-11-28 21:42:48,56.9064,118.2631,-11.97,85,100,0.27
132,Luderitz,NA,2021-11-28 21:42:48,-26.6481,15.1594,60.94,84,15,8.81
133,Batie,BF,2021-11-28 21:42:49,9.8833,-2.9167,80.96,19,5,3.29
134,Lorengau,PG,2021-11-28 21:40:40,-2.0226,147.2712,82.65,75,98,3.04
135,Saint-Pierre,RE,2021-11-28 21:42:49,-21.3393,55.4781,74.88,83,90,3.44
136,Lagoa,PT,2021-11-28 21:42:49,39.05,-27.9833,60.31,55,63,1.52
137,Nelson Bay,AU,2021-11-28 21:42:50,-32.7167,152.15,62.65,73,100,5.12
138,Adrar,MR,2021-11-28 21:43:50,20.5022,-10.0711,60.93,35,0,10.83
139,Raul Soares,BR,2021-11-28 21:43:50,-20.1022,-42.4519,70.79,86,33,4.81
140,Portel,BR,2021-11-28 21:43:51,-1.9356,-50.8211,81.09,69,96,3.69
141,Grez-Doiceau,BE,2021-11-28 21:43:51,50.739,4.6983,36.45,93,75,6.91
142,Krasnyye Chetai,RU,2021-11-28 21:43:51,55.6887,46.1386,33.89,100,100,6.38
143,Krasnoselkup,RU,2021-11-28 21:43:52,65.7,82.4667,-19.93,100,76,5.44
144,Yumen,CN,2021-11-28 21:43:52,40.2833,97.2,20.12,46,0,14.36
145,Jamestown,US,2021-11-28 21:43:52,42.097,-79.2353,36.72,93,90,12.66
146,Ulaanbaatar,MN,2021-11-28 21:43:53,47.9077,106.8832,1.53,85,75,2.24
147,Kalabo,ZM,2021-11-28 21:43:53,-14.97,22.6814,73.24,66,84,4.7
148,Barao De Melgaco,BR,2021-11-28 21:43:53,-16.1944,-55.9675,91.92,72,71,4.32
149,Guerrero Negro,MX,2021-11-28 21:43:54,27.9769,-114.0611,77.77,34,0,9.95
150,Chiusi,IT,2021-11-28 21:43:54,43.016,11.9475,42.73,80,29,5.99
151,Swan River,CA,2021-11-28 21:43:54,52.1058,-101.2676,19.29,79,100,8.05
152,College,US,2021-11-28 21:40:01,64.8569,-147.8028,-20.54,71,40,4.61
153,Waddan,LY,2021-11-28 21:43:55,29.1614,16.139,75.74,21,100,8.61
154,Olafsvik,IS,2021-11-28 21:43:55,64.8945,-23.7142,39.6,94,98,12.57
155,Bonthe,SL,2021-11-28 21:43:55,7.5264,-12.505,79.95,80,7,7.34
156,Mogadishu,SO,2021-11-28 21:39:03,2.0371,45.3438,81.05,78,43,9.57
157,Corinto,GR,2021-11-28 21:43:56,37.9407,22.9573,67.8,79,35,5.5
158,Dunedin,NZ,2021-11-28 21:43:56,-45.8742,170.5036,62.28,54,79,3.49
159,Polunochnoye,RU,2021-11-28 21:43:56,60.8697,60.4153,23.34,93,100,5.17
160,Padang,ID,2021-11-28 21:43:57,-0.9492,100.3543,75.7,88,96,2.46
161,Uzhur,RU,2021-11-28 21:43:57,55.3036,89.8339,14.67,88,97,5.08
162,Lavrentiya,RU,2021-11-28 21:43:57,65.5833,-171.0,-13.02,91,3,6.93
163,Arlit,NE,2021-11-28 21:43:58,18.7369,7.3853,77.07,15,28,8.63
164,Bandarbeyla,SO,2021-11-28 21:43:58,9.4942,50.8122,77.32,76,52,18.48
165,Dunda,TZ,2021-11-28 21:43:58,-8.1167,34.25,68.27,72,66,4.43
166,Khandbari,NP,2021-11-28 21:43:59,27.3747,87.2039,53.73,68,10,3.4
167,Lokosovo,RU,2021-11-28 21:43:59,61.1333,74.8167,21.72,96,100,7.47
168,Baykit,RU,2021-11-28 21:43:59,61.67,96.37,15.37,96,100,2.64
169,Yatou,CN,2021-11-28 21:44:00,37.15,122.3833,50.22,87,99,2.84
170,Severo-Kurilsk,RU,2021-11-28 21:44:00,50.6789,156.125,33.53,87,100,18.48
171,Puerto Ayacucho,VE,2021-11-28 21:44:00,5.6639,-67.6236,82.8,75,76,3.0
172,Ruteng,ID,2021-11-28 21:44:00,-8.6136,120.4721,62.92,90,93,1.1
173,Kavaratti,IN,2021-11-28 21:44:01,10.5669,72.642,80.55,81,99,17.85
174,Paita,PE,2021-11-28 21:44:01,-5.0892,-81.1144,73.96,78,70,17.2
175,Kostyantynivka,UA,2021-11-28 21:44:01,48.5277,37.7069,51.69,96,100,13.94
176,Geraldton,AU,2021-11-28 21:44:02,-28.7667,114.6,64.81,94,90,10.36
177,Khatanga,RU,2021-11-28 21:44:02,71.9667,102.5,-8.05,98,100,9.31
178,Saint-Denis,FR,2021-11-28 21:44:02,48.9167,2.3333,36.16,86,0,5.75
