City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Auki,SB,-8.7676,160.7034,77.65,87,100,4.52,overcast clouds
80,Butaritari,KI,3.0707,172.7902,81.46,80,72,14.58,broken clouds
81,Nikolskoye,RU,59.7035,30.7861,26.49,94,100,6.58,light snow
82,Kencong,ID,-8.2833,113.3667,76.23,84,100,3.11,moderate rain
83,Guerrero Negro,MX,27.9769,-114.0611,62.49,69,0,3.83,clear sky
84,Olafsvik,IS,64.8945,-23.7142,39.29,94,100,18.45,overcast clouds
85,Port Hawkesbury,CA,45.6169,-61.3485,35.19,69,75,16.11,broken clouds
86,Mount Gambier,AU,-37.8333,140.7667,57.11,82,1,6.91,clear sky
87,Oistins,BB,13.0667,-59.5333,82.49,78,40,16.11,scattered clouds
88,Hede,CN,33.7681,120.2517,56.61,73,100,11.01,overcast clouds
89,Atuona,PF,-9.8,-139.0333,77.95,73,26,20.65,scattered clouds
90,Saint George,US,37.1041,-113.5841,45.19,29,1,6.91,clear sky
91,Daru,PG,-9.0763,143.2092,81.14,77,77,4.7,broken clouds
92,Dhidhdhoo,MV,6.8833,73.1,80.51,77,100,4.81,moderate rain
93,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,67,0,4.47,clear sky
94,Praia,CV,14.9215,-23.5087,79.34,61,20,28.77,few clouds
95,Port Alfred,ZA,-33.5906,26.891,77.95,53,32,10.94,scattered clouds
96,Provideniya,RU,64.3833,-173.3,-5.82,78,6,4.5,clear sky
97,Mount Isa,AU,-20.7333,139.5,85.77,23,0,11.5,clear sky
98,Hilo,US,19.7297,-155.09,65.93,88,1,6.91,clear sky
99,Pemba,MZ,-12.974,40.5178,81.21,64,94,15.68,overcast clouds
100,Namatanai,PG,-3.6667,152.4333,80.73,78,99,3.91,overcast clouds
101,Nassjo,SE,57.6531,14.6968,29.32,85,100,10.71,overcast clouds
102,Burnie,AU,-41.0667,145.9167,51.51,79,15,0.69,few clouds
103,Boyolangu,ID,-8.1181,111.8935,77.11,86,100,5.41,light rain
104,Grafton,US,42.207,-71.6856,30.47,74,75,8.05,broken clouds
105,Mahajanga,MG,-15.7167,46.3167,87.82,66,20,14.97,light rain
106,Odweyne,SO,9.4092,45.064,83.12,27,3,19.46,clear sky
107,Sucre,BO,-19.0333,-65.2627,61.72,68,79,3.98,broken clouds
108,Chapais,CA,49.7834,-74.8492,13.78,96,100,8.52,overcast clouds
109,Tabuk,PH,17.4189,121.4443,74.23,93,91,3.44,overcast clouds
110,Chimoio,MZ,-19.1164,33.4833,78.66,50,75,8.05,broken clouds
111,Kuli,RU,42.0185,47.2434,41.34,57,40,1.5,scattered clouds
112,Nuevo Progreso,MX,23.1667,-97.95,62.83,96,28,6.22,scattered clouds
